UTC,HARD_C,MEAN_H_E
2024-10-03 23:23:50,228,60.439663027502235
2024-10-03 23:23:52,189,50.744401087437474
2024-10-03 23:23:56,226,54.12903861816011
2024-10-03 23:23:59,260,43.93300462421153
2024-10-03 23:24:04,262,60.22766662588762
2024-10-03 23:24:06,175,55.65460935503064
2024-10-03 23:24:12,231,50.38498098034003
2024-10-03 23:24:14,251,49.33913672438738
2024-10-03 23:24:16,283,46.68305798507388
2024-10-03 23:24:17,159,47.89670100879074
2024-10-03 23:24:23,465,56.836134951927825
2024-10-03 23:24:30,213,51.17278483085511
2024-10-03 23:24:31,216,53.0679391788694
2024-10-03 23:24:35,181,38.7107436240155
2024-10-03 23:24:37,262,52.32102424747389
2024-10-03 23:24:42,347,70.70226651806031
2024-10-03 23:24:43,91,52.06104017958318
2024-10-03 23:24:50,430,56.33021116149638
2024-10-03 23:24:58,303,65.8784328921899
2024-10-03 23:25:06,429,58.75011108365399
2024-10-03 23:25:13,384,60.575867163253086
2024-10-03 23:25:14,53,64.663392985198
2024-10-03 23:25:19,373,47.544203284339346
2024-10-03 23:25:21,113,53.803156605707365
2024-10-03 23:25:27,65,58.7509592296364
2024-10-03 23:25:29,332,65.6603228929971
